count	DateAsNumber
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-23
1	2014-06-23
1	2014-06-23
1	2014-06-23
1	2014-07-01
1	2014-07-01
1	2014-07-01
1	2014-07-01
1	2014-07-02
1	2014-07-02
1	2014-07-02
1	2014-07-02
1	2014-07-02
1	2014-07-02
1	2014-07-05
1	2014-07-05
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-07-08
1	2014-08-01
1	2014-08-01
1	2014-08-01
1	2014-08-01
1	2014-08-01
1	2014-08-01
1	2014-08-01
1	2014-08-01
1	2014-08-04
1	2014-08-06
1	2014-08-06
1	2014-08-06
1	2014-08-06
1	2014-08-06
1	2014-08-06
1	2014-08-06
1	2014-08-06
1	2014-08-06
1	2014-08-06
1	2014-08-06
1	2014-08-08
1	2014-08-08
1	2014-08-08
1	2014-08-08
1	2014-08-08
1	2014-08-08
1	2014-08-08
1	2014-08-08
1	2014-08-08
1	2014-08-08
1	2014-08-08
1	2014-08-08
1	2014-08-08
1	2014-08-08
1	2014-08-09
1	2014-08-09
1	2014-08-09
1	2014-08-09
1	2014-08-09
1	2014-08-09
1	2014-08-09
1	2014-08-09
1	2014-08-16
1	2014-08-16
1	2014-08-16
1	2014-08-16
1	2014-08-16
1	2014-08-16
1	2014-08-16
1	2014-08-16
1	2014-08-16
1	2014-08-16
1	2014-08-16
1	2014-08-16
1	2014-08-16
1	2014-08-16
1	2014-08-16
1	2014-08-16
1	2014-08-20
1	2014-08-20
1	2014-08-20
1	2014-08-20
1	2014-08-20
1	2014-08-20
1	2014-08-20
1	2014-08-20
1	2014-08-20
1	2014-08-20
1	2014-08-20
1	2014-08-20
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-08-28
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-01
1	2014-09-05
1	2014-09-05
1	2014-09-05
1	2014-09-05
1	2014-09-05
1	2014-09-05
1	2014-09-05
1	2014-09-05
1	2014-09-05
1	2014-09-05
1	2014-09-05
1	2014-09-08
1	2014-09-08
1	2014-09-08
1	2014-09-08
1	2014-09-08
1	2014-09-08
1	2014-09-08
1	2014-09-08
1	2014-09-08
1	2014-09-08
1	2014-09-08
1	2014-09-08
1	2014-09-08
1	2014-09-08
1	2014-09-10
1	2014-09-10
1	2014-09-10
1	2014-09-10
1	2014-09-10
1	2014-09-10
1	2014-09-19
1	2014-09-19
1	2014-09-19
1	2014-09-19
1	2014-09-19
1	2014-09-19
1	2014-09-19
1	2014-09-19
1	2014-09-19
1	2014-09-19
1	2014-09-21
1	2014-09-21
1	2014-09-21
1	2014-09-21
1	2014-09-21
1	2014-09-21
1	2014-09-21
1	2014-09-21
1	2014-09-21
